classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
158887344,LMParsons,1889100,6347b8316dafa0e132a7,10481,Training Program,9.29,2019-04-09 14:06:53 UTC,,,"{""source"":""api"",""session"":""c4b5cf9939d3abbcd5307c451bebfb3a08ae3ce428cd6ce6b5b571257c5f5b3f"",""viewport"":{""width"":1377,""height"":720},""started_at"":""2019-04-09T14:06:46.080Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15"",""utc_offset"":""18000"",""finished_at"":""2019-04-09T14:06:53.267Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":843,""clientHeight"":474,""naturalWidth"":5472,""naturalHeight"":3072}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""19615""}","[{""task"":""T0"",""task_label"":""Rate kernels' vitreousness on a scale of 1-5."",""value"":[""2""]}]","{""32357071"":{""retired"":null,""Filename"":""IMG_2780.jpeg""}}",32357071
158887367,LMParsons,1889100,6347b8316dafa0e132a7,10481,Training Program,9.29,2019-04-09 14:07:00 UTC,,,"{""source"":""api"",""session"":""c4b5cf9939d3abbcd5307c451bebfb3a08ae3ce428cd6ce6b5b571257c5f5b3f"",""viewport"":{""width"":1377,""height"":720},""started_at"":""2019-04-09T14:06:55.663Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15"",""utc_offset"":""18000"",""finished_at"":""2019-04-09T14:06:59.825Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":843,""clientHeight"":474,""naturalWidth"":5472,""naturalHeight"":3072}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""19615""}","[{""task"":""T0"",""task_label"":""Rate kernels' vitreousness on a scale of 1-5."",""value"":[""2""]}]","{""32357069"":{""retired"":null,""Filename"":""IMG_2777.jpeg""}}",32357069
158887392,LMParsons,1889100,6347b8316dafa0e132a7,10481,Training Program,9.29,2019-04-09 14:07:05 UTC,,,"{""source"":""api"",""session"":""c4b5cf9939d3abbcd5307c451bebfb3a08ae3ce428cd6ce6b5b571257c5f5b3f"",""viewport"":{""width"":1377,""height"":720},""started_at"":""2019-04-09T14:07:00.748Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15"",""utc_offset"":""18000"",""finished_at"":""2019-04-09T14:07:05.296Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":843,""clientHeight"":474,""naturalWidth"":5472,""naturalHeight"":3072}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""19615""}","[{""task"":""T0"",""task_label"":""Rate kernels' vitreousness on a scale of 1-5."",""value"":[""4""]}]","{""32357076"":{""retired"":null,""Filename"":""IMG_3086.jpg""}}",32357076
158887405,LMParsons,1889100,6347b8316dafa0e132a7,10481,Training Program,9.29,2019-04-09 14:07:10 UTC,,,"{""source"":""api"",""session"":""c4b5cf9939d3abbcd5307c451bebfb3a08ae3ce428cd6ce6b5b571257c5f5b3f"",""viewport"":{""width"":1377,""height"":720},""started_at"":""2019-04-09T14:07:05.950Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15"",""utc_offset"":""18000"",""finished_at"":""2019-04-09T14:07:10.125Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":843,""clientHeight"":474,""naturalWidth"":5472,""naturalHeight"":3072}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""19615""}","[{""task"":""T0"",""task_label"":""Rate kernels' vitreousness on a scale of 1-5."",""value"":[""4""]}]","{""32357075"":{""retired"":null,""Filename"":""IMG_3085.jpg""}}",32357075
158887419,LMParsons,1889100,6347b8316dafa0e132a7,10481,Training Program,9.29,2019-04-09 14:07:15 UTC,,,"{""source"":""api"",""session"":""c4b5cf9939d3abbcd5307c451bebfb3a08ae3ce428cd6ce6b5b571257c5f5b3f"",""viewport"":{""width"":1377,""height"":720},""started_at"":""2019-04-09T14:07:10.861Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15"",""utc_offset"":""18000"",""finished_at"":""2019-04-09T14:07:15.597Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":843,""clientHeight"":474,""naturalWidth"":5472,""naturalHeight"":3072}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""19615""}","[{""task"":""T0"",""task_label"":""Rate kernels' vitreousness on a scale of 1-5."",""value"":[""3""]}]","{""32357068"":{""retired"":null,""Filename"":""IMG_2706.jpg""}}",32357068
158887433,LMParsons,1889100,6347b8316dafa0e132a7,10481,Training Program,9.29,2019-04-09 14:07:19 UTC,,,"{""source"":""api"",""session"":""c4b5cf9939d3abbcd5307c451bebfb3a08ae3ce428cd6ce6b5b571257c5f5b3f"",""viewport"":{""width"":1377,""height"":720},""started_at"":""2019-04-09T14:07:16.542Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15"",""utc_offset"":""18000"",""finished_at"":""2019-04-09T14:07:19.627Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":843,""clientHeight"":474,""naturalWidth"":5472,""naturalHeight"":3072}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""19615""}","[{""task"":""T0"",""task_label"":""Rate kernels' vitreousness on a scale of 1-5."",""value"":[""1""]}]","{""32357074"":{""retired"":null,""Filename"":""IMG_3054.jpg""}}",32357074
158887457,LMParsons,1889100,6347b8316dafa0e132a7,10481,Training Program,9.29,2019-04-09 14:07:25 UTC,,,"{""source"":""api"",""session"":""c4b5cf9939d3abbcd5307c451bebfb3a08ae3ce428cd6ce6b5b571257c5f5b3f"",""viewport"":{""width"":1377,""height"":720},""started_at"":""2019-04-09T14:07:20.494Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15"",""utc_offset"":""18000"",""finished_at"":""2019-04-09T14:07:25.381Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":843,""clientHeight"":474,""naturalWidth"":5472,""naturalHeight"":3072}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""19615""}","[{""task"":""T0"",""task_label"":""Rate kernels' vitreousness on a scale of 1-5."",""value"":[""2""]}]","{""32357070"":{""retired"":null,""Filename"":""IMG_2779.jpg""}}",32357070
158887467,LMParsons,1889100,6347b8316dafa0e132a7,10481,Training Program,9.29,2019-04-09 14:07:29 UTC,,,"{""source"":""api"",""session"":""c4b5cf9939d3abbcd5307c451bebfb3a08ae3ce428cd6ce6b5b571257c5f5b3f"",""viewport"":{""width"":1377,""height"":720},""started_at"":""2019-04-09T14:07:26.159Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15"",""utc_offset"":""18000"",""finished_at"":""2019-04-09T14:07:28.937Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":843,""clientHeight"":474,""naturalWidth"":5472,""naturalHeight"":3072}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""19615""}","[{""task"":""T0"",""task_label"":""Rate kernels' vitreousness on a scale of 1-5."",""value"":[""1""]}]","{""32357072"":{""retired"":null,""Filename"":""IMG_3035.jpg""}}",32357072
158887483,LMParsons,1889100,6347b8316dafa0e132a7,10481,Training Program,9.29,2019-04-09 14:07:33 UTC,,,"{""source"":""api"",""session"":""c4b5cf9939d3abbcd5307c451bebfb3a08ae3ce428cd6ce6b5b571257c5f5b3f"",""viewport"":{""width"":1377,""height"":720},""started_at"":""2019-04-09T14:07:30.199Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15"",""utc_offset"":""18000"",""finished_at"":""2019-04-09T14:07:32.931Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":843,""clientHeight"":474,""naturalWidth"":5472,""naturalHeight"":3072}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""19615""}","[{""task"":""T0"",""task_label"":""Rate kernels' vitreousness on a scale of 1-5."",""value"":[""2""]}]","{""32357073"":{""retired"":null,""Filename"":""IMG_3046.jpg""}}",32357073
158887524,LMParsons,1889100,6347b8316dafa0e132a7,10481,Training Program,9.29,2019-04-09 14:07:47 UTC,,,"{""source"":""api"",""session"":""c4b5cf9939d3abbcd5307c451bebfb3a08ae3ce428cd6ce6b5b571257c5f5b3f"",""viewport"":{""width"":1377,""height"":720},""started_at"":""2019-04-09T14:07:33.927Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15"",""utc_offset"":""18000"",""finished_at"":""2019-04-09T14:07:47.579Z"",""seen_before"":true,""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[null],""subject_selection_state"":{""retired"":false,""already_seen"":true,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""19615""}","[{""task"":""T0"",""task_label"":""Rate kernels' vitreousness on a scale of 1-5."",""value"":[""2""]}]","{""32357073"":{""retired"":null,""Filename"":""IMG_3046.jpg""}}",32357073
