,filename,num_ratings,num_bboxes,num_objects,ratings,bounding_boxes
247,DSC05376.jpeg,18,18,18,"[['3', '3', '1', '1', '1', '1'], ['1', '1', '1', '1', '1', '1'], ['3', '1', '1', '3', '1', '1']]","[{'x': 171, 'y': 86, 'x_offset': 149, 'y_offset': 182}, {'x': 438, 'y': 93, 'x_offset': 155, 'y_offset': 173}, {'x': 659, 'y': 91, 'x_offset': 153, 'y_offset': 186}, {'x': 924, 'y': 103, 'x_offset': 155, 'y_offset': 196}, {'x': 1179, 'y': 111, 'x_offset': 165, 'y_offset': 182}, {'x': 1448, 'y': 111, 'x_offset': 149, 'y_offset': 186}, {'x': 179, 'y': 407, 'x_offset': 145, 'y_offset': 174}, {'x': 667, 'y': 393, 'x_offset': 141, 'y_offset': 188}, {'x': 424, 'y': 391, 'x_offset': 151, 'y_offset': 171}, {'x': 899, 'y': 411, 'x_offset': 153, 'y_offset': 184}, {'x': 1154, 'y': 419, 'x_offset': 137, 'y_offset': 171}, {'x': 1391, 'y': 413, 'x_offset': 149, 'y_offset': 174}, {'x': 171, 'y': 729, 'x_offset': 157, 'y_offset': 178}, {'x': 405, 'y': 725, 'x_offset': 155, 'y_offset': 178}, {'x': 638, 'y': 733, 'x_offset': 159, 'y_offset': 174}, {'x': 887, 'y': 727, 'x_offset': 139, 'y_offset': 182}, {'x': 1122, 'y': 725, 'x_offset': 149, 'y_offset': 176}, {'x': 1357, 'y': 713, 'x_offset': 155, 'y_offset': 176}]"
276,DSC05377.jpeg,18,18,18,"[['3', '3', '1', '1', '1', '1'], ['1', '1', '1', '1', '1', '1'], ['3', '1', '1', '3', '1', '1']]","[{'x': 201, 'y': 100, 'x_offset': 229, 'y_offset': 277}, {'x': 581, 'y': 120, 'x_offset': 234, 'y_offset': 263}, {'x': 912, 'y': 120, 'x_offset': 224, 'y_offset': 277}, {'x': 1272, 'y': 149, 'x_offset': 234, 'y_offset': 277}, {'x': 1642, 'y': 169, 'x_offset': 239, 'y_offset': 268}, {'x': 2012, 'y': 188, 'x_offset': 234, 'y_offset': 263}, {'x': 201, 'y': 553, 'x_offset': 234, 'y_offset': 277}, {'x': 571, 'y': 548, 'x_offset': 200, 'y_offset': 258}, {'x': 902, 'y': 558, 'x_offset': 219, 'y_offset': 277}, {'x': 1243, 'y': 582, 'x_offset': 219, 'y_offset': 268}, {'x': 1598, 'y': 607, 'x_offset': 204, 'y_offset': 253}, {'x': 1915, 'y': 607, 'x_offset': 214, 'y_offset': 239}, {'x': 192, 'y': 1025, 'x_offset': 224, 'y_offset': 253}, {'x': 532, 'y': 1030, 'x_offset': 214, 'y_offset': 243}, {'x': 844, 'y': 1030, 'x_offset': 248, 'y_offset': 268}, {'x': 1209, 'y': 1030, 'x_offset': 195, 'y_offset': 268}, {'x': 1545, 'y': 1030, 'x_offset': 200, 'y_offset': 253}, {'x': 1866, 'y': 1016, 'x_offset': 209, 'y_offset': 248}]"
112,DSC05378.jpeg,18,18,18,"[['1', '3', '1', '2', '3', '2'], ['1', '1', '1', '1', '3', '3'], ['1', '1', '2', '1', '2', '1']]","[{'x': 152, 'y': 116, 'x_offset': 183, 'y_offset': 206}, {'x': 442, 'y': 127, 'x_offset': 175, 'y_offset': 175}, {'x': 684, 'y': 121, 'x_offset': 142, 'y_offset': 190}, {'x': 936, 'y': 133, 'x_offset': 150, 'y_offset': 194}, {'x': 1168, 'y': 133, 'x_offset': 186, 'y_offset': 202}, {'x': 1424, 'y': 137, 'x_offset': 163, 'y_offset': 196}, {'x': 175, 'y': 454, 'x_offset': 169, 'y_offset': 200}, {'x': 444, 'y': 440, 'x_offset': 159, 'y_offset': 194}, {'x': 669, 'y': 433, 'x_offset': 173, 'y_offset': 196}, {'x': 932, 'y': 448, 'x_offset': 165, 'y_offset': 186}, {'x': 1168, 'y': 444, 'x_offset': 159, 'y_offset': 186}, {'x': 1399, 'y': 450, 'x_offset': 181, 'y_offset': 198}, {'x': 179, 'y': 777, 'x_offset': 171, 'y_offset': 200}, {'x': 419, 'y': 784, 'x_offset': 154, 'y_offset': 184}, {'x': 630, 'y': 786, 'x_offset': 163, 'y_offset': 194}, {'x': 1139, 'y': 777, 'x_offset': 159, 'y_offset': 179}, {'x': 905, 'y': 788, 'x_offset': 158, 'y_offset': 196}, {'x': 1387, 'y': 794, 'x_offset': 158, 'y_offset': 169}]"
67,DSC05379.jpeg,18,18,18,"[['1', '3', '1', '2', '3', '2'], ['1', '1', '1', '1', '3', '3'], ['1', '1', '2', '1', '2', '1']]","[{'x': 205, 'y': 49, 'x_offset': 207, 'y_offset': 250}, {'x': 538, 'y': 55, 'x_offset': 213, 'y_offset': 235}, {'x': 808, 'y': 63, 'x_offset': 180, 'y_offset': 233}, {'x': 1107, 'y': 63, 'x_offset': 182, 'y_offset': 241}, {'x': 1397, 'y': 65, 'x_offset': 196, 'y_offset': 254}, {'x': 1688, 'y': 67, 'x_offset': 194, 'y_offset': 246}, {'x': 227, 'y': 440, 'x_offset': 201, 'y_offset': 229}, {'x': 534, 'y': 421, 'x_offset': 200, 'y_offset': 243}, {'x': 810, 'y': 417, 'x_offset': 200, 'y_offset': 235}, {'x': 1103, 'y': 431, 'x_offset': 203, 'y_offset': 227}, {'x': 1379, 'y': 433, 'x_offset': 190, 'y_offset': 227}, {'x': 1667, 'y': 440, 'x_offset': 198, 'y_offset': 245}, {'x': 245, 'y': 816, 'x_offset': 192, 'y_offset': 245}, {'x': 513, 'y': 828, 'x_offset': 180, 'y_offset': 223}, {'x': 757, 'y': 816, 'x_offset': 196, 'y_offset': 243}, {'x': 1076, 'y': 838, 'x_offset': 196, 'y_offset': 221}, {'x': 1350, 'y': 820, 'x_offset': 184, 'y_offset': 215}, {'x': 1639, 'y': 834, 'x_offset': 192, 'y_offset': 217}]"
134,DSC05384.jpeg,18,18,18,"[['1', '1', '1', '1', '1', '1'], ['1', '1', '1', '1', '1', '1'], ['1', '1', '1', '1', '1', '1']]","[{'x': 258, 'y': 111, 'x_offset': 188, 'y_offset': 226}, {'x': 582, 'y': 109, 'x_offset': 196, 'y_offset': 220}, {'x': 882, 'y': 100, 'x_offset': 205, 'y_offset': 254}, {'x': 1179, 'y': 103, 'x_offset': 209, 'y_offset': 260}, {'x': 1490, 'y': 128, 'x_offset': 209, 'y_offset': 241}, {'x': 1777, 'y': 122, 'x_offset': 217, 'y_offset': 243}, {'x': 247, 'y': 516, 'x_offset': 211, 'y_offset': 245}, {'x': 558, 'y': 505, 'x_offset': 205, 'y_offset': 245}, {'x': 846, 'y': 505, 'x_offset': 209, 'y_offset': 249}, {'x': 1140, 'y': 508, 'x_offset': 209, 'y_offset': 262}, {'x': 1449, 'y': 518, 'x_offset': 217, 'y_offset': 260}, {'x': 1788, 'y': 550, 'x_offset': 209, 'y_offset': 239}, {'x': 239, 'y': 942, 'x_offset': 209, 'y_offset': 237}, {'x': 539, 'y': 942, 'x_offset': 222, 'y_offset': 245}, {'x': 838, 'y': 947, 'x_offset': 200, 'y_offset': 247}, {'x': 1117, 'y': 947, 'x_offset': 202, 'y_offset': 249}, {'x': 1745, 'y': 915, 'x_offset': 205, 'y_offset': 243}, {'x': 1426, 'y': 959, 'x_offset': 209, 'y_offset': 232}]"
358,DSC05385.jpeg,18,18,18,"[['1', '1', '1', '1', '1', '1'], ['1', '1', '1', '1', '1', '1'], ['1', '1', '1', '1', '1', '1']]","[{'x': 159, 'y': 142, 'x_offset': 172, 'y_offset': 218}, {'x': 482, 'y': 144, 'x_offset': 188, 'y_offset': 226}, {'x': 792, 'y': 142, 'x_offset': 192, 'y_offset': 242}, {'x': 1077, 'y': 148, 'x_offset': 212, 'y_offset': 250}, {'x': 1399, 'y': 176, 'x_offset': 210, 'y_offset': 244}, {'x': 1694, 'y': 180, 'x_offset': 200, 'y_offset': 238}, {'x': 133, 'y': 551, 'x_offset': 210, 'y_offset': 244}, {'x': 452, 'y': 545, 'x_offset': 196, 'y_offset': 238}, {'x': 742, 'y': 547, 'x_offset': 204, 'y_offset': 252}, {'x': 1037, 'y': 557, 'x_offset': 208, 'y_offset': 242}, {'x': 1698, 'y': 603, 'x_offset': 188, 'y_offset': 232}, {'x': 1347, 'y': 575, 'x_offset': 210, 'y_offset': 242}, {'x': 139, 'y': 986, 'x_offset': 188, 'y_offset': 228}, {'x': 432, 'y': 988, 'x_offset': 208, 'y_offset': 238}, {'x': 724, 'y': 992, 'x_offset': 204, 'y_offset': 244}, {'x': 1005, 'y': 996, 'x_offset': 208, 'y_offset': 242}, {'x': 1323, 'y': 1006, 'x_offset': 198, 'y_offset': 238}, {'x': 1641, 'y': 972, 'x_offset': 198, 'y_offset': 240}]"
45,DSC05386.jpeg,18,18,18,"[['1', '1', '1', '1', '1', '1'], ['1', '1', '1', '1', '1', '1'], ['1', '1', '1', '1', '1', '1']]","[{'x': 111, 'y': 121, 'x_offset': 201, 'y_offset': 229}, {'x': 430, 'y': 121, 'x_offset': 220, 'y_offset': 241}, {'x': 745, 'y': 132, 'x_offset': 205, 'y_offset': 261}, {'x': 1040, 'y': 130, 'x_offset': 205, 'y_offset': 278}, {'x': 1353, 'y': 171, 'x_offset': 198, 'y_offset': 265}, {'x': 1635, 'y': 179, 'x_offset': 201, 'y_offset': 254}, {'x': 417, 'y': 522, 'x_offset': 190, 'y_offset': 250}, {'x': 98, 'y': 526, 'x_offset': 203, 'y_offset': 254}, {'x': 691, 'y': 529, 'x_offset': 222, 'y_offset': 257}, {'x': 980, 'y': 544, 'x_offset': 224, 'y_offset': 254}, {'x': 1301, 'y': 557, 'x_offset': 201, 'y_offset': 267}, {'x': 1633, 'y': 602, 'x_offset': 201, 'y_offset': 241}, {'x': 70, 'y': 949, 'x_offset': 222, 'y_offset': 265}, {'x': 385, 'y': 960, 'x_offset': 220, 'y_offset': 261}, {'x': 676, 'y': 973, 'x_offset': 205, 'y_offset': 263}, {'x': 956, 'y': 975, 'x_offset': 196, 'y_offset': 261}, {'x': 1260, 'y': 988, 'x_offset': 213, 'y_offset': 252}, {'x': 1581, 'y': 951, 'x_offset': 194, 'y_offset': 270}]"
175,DSC05387.jpeg,21,21,21,"[['1', '1', '1', '1', '1', '1'], ['1', '1', '1', '1', '1', '1'], ['1', '1', '1', '1', '1', '1'], ['1', '1', '1']]","[{'x': 105, 'y': 57, 'x_offset': 170, 'y_offset': 216}, {'x': 402, 'y': 60, 'x_offset': 176, 'y_offset': 230}, {'x': 678, 'y': 94, 'x_offset': 173, 'y_offset': 218}, {'x': 930, 'y': 122, 'x_offset': 179, 'y_offset': 216}, {'x': 1185, 'y': 148, 'x_offset': 167, 'y_offset': 210}, {'x': 1407, 'y': 162, 'x_offset': 176, 'y_offset': 216}, {'x': 56, 'y': 375, 'x_offset': 173, 'y_offset': 218}, {'x': 349, 'y': 395, 'x_offset': 182, 'y_offset': 204}, {'x': 612, 'y': 417, 'x_offset': 167, 'y_offset': 221}, {'x': 885, 'y': 423, 'x_offset': 187, 'y_offset': 213}, {'x': 1143, 'y': 460, 'x_offset': 187, 'y_offset': 224}, {'x': 1395, 'y': 477, 'x_offset': 173, 'y_offset': 213}, {'x': 48, 'y': 764, 'x_offset': 176, 'y_offset': 190}, {'x': 320, 'y': 747, 'x_offset': 176, 'y_offset': 221}, {'x': 584, 'y': 769, 'x_offset': 170, 'y_offset': 224}, {'x': 851, 'y': 786, 'x_offset': 182, 'y_offset': 204}, {'x': 1123, 'y': 806, 'x_offset': 162, 'y_offset': 196}, {'x': 1359, 'y': 783, 'x_offset': 170, 'y_offset': 213}, {'x': 246, 'y': 1473, 'x_offset': 182, 'y_offset': 196}, {'x': 502, 'y': 1476, 'x_offset': 170, 'y_offset': 201}, {'x': 717, 'y': 1476, 'x_offset': 190, 'y_offset': 199}]"
89,DSC05389.jpeg,21,21,21,"[['1', '1', '1', '1', '1', '1'], ['1', '1', '1', '1', '1', '1'], ['1', '1', '1', '1', '1', '1'], ['1', '1', '1']]","[{'x': 92, 'y': 54, 'x_offset': 124, 'y_offset': 150}, {'x': 302, 'y': 48, 'x_offset': 132, 'y_offset': 164}, {'x': 504, 'y': 78, 'x_offset': 128, 'y_offset': 152}, {'x': 687, 'y': 92, 'x_offset': 132, 'y_offset': 162}, {'x': 867, 'y': 106, 'x_offset': 128, 'y_offset': 150}, {'x': 1037, 'y': 110, 'x_offset': 122, 'y_offset': 162}, {'x': 48, 'y': 282, 'x_offset': 142, 'y_offset': 150}, {'x': 280, 'y': 282, 'x_offset': 114, 'y_offset': 152}, {'x': 458, 'y': 306, 'x_offset': 132, 'y_offset': 150}, {'x': 669, 'y': 304, 'x_offset': 124, 'y_offset': 158}, {'x': 851, 'y': 337, 'x_offset': 134, 'y_offset': 162}, {'x': 1037, 'y': 339, 'x_offset': 122, 'y_offset': 164}, {'x': 64, 'y': 557, 'x_offset': 120, 'y_offset': 144}, {'x': 246, 'y': 545, 'x_offset': 140, 'y_offset': 166}, {'x': 438, 'y': 559, 'x_offset': 138, 'y_offset': 166}, {'x': 645, 'y': 567, 'x_offset': 122, 'y_offset': 158}, {'x': 843, 'y': 585, 'x_offset': 114, 'y_offset': 152}, {'x': 1009, 'y': 569, 'x_offset': 130, 'y_offset': 158}, {'x': 204, 'y': 1095, 'x_offset': 130, 'y_offset': 144}, {'x': 390, 'y': 1097, 'x_offset': 118, 'y_offset': 152}, {'x': 554, 'y': 1087, 'x_offset': 130, 'y_offset': 166}]"
22,DSC05390.jpeg,0,0,0,[],[]
