,filename,num_ratings,num_bboxes,num_objects,ratings,bounding_boxes
112,DSC05378.jpeg,18,18,18,"[['1', '3', '1', '2', '3', '2'], ['1', '1', '1', '1', '3', '3'], ['1', '1', '2', '1', '2', '1']]","[{'x': 152, 'y': 116, 'x_offset': 183, 'y_offset': 206}, {'x': 442, 'y': 127, 'x_offset': 175, 'y_offset': 175}, {'x': 684, 'y': 121, 'x_offset': 142, 'y_offset': 190}, {'x': 936, 'y': 133, 'x_offset': 150, 'y_offset': 194}, {'x': 1168, 'y': 133, 'x_offset': 186, 'y_offset': 202}, {'x': 1424, 'y': 137, 'x_offset': 163, 'y_offset': 196}, {'x': 175, 'y': 454, 'x_offset': 169, 'y_offset': 200}, {'x': 444, 'y': 440, 'x_offset': 159, 'y_offset': 194}, {'x': 669, 'y': 433, 'x_offset': 173, 'y_offset': 196}, {'x': 932, 'y': 448, 'x_offset': 165, 'y_offset': 186}, {'x': 1168, 'y': 444, 'x_offset': 159, 'y_offset': 186}, {'x': 1399, 'y': 450, 'x_offset': 181, 'y_offset': 198}, {'x': 179, 'y': 777, 'x_offset': 171, 'y_offset': 200}, {'x': 419, 'y': 784, 'x_offset': 154, 'y_offset': 184}, {'x': 630, 'y': 786, 'x_offset': 163, 'y_offset': 194}, {'x': 1139, 'y': 777, 'x_offset': 159, 'y_offset': 179}, {'x': 905, 'y': 788, 'x_offset': 158, 'y_offset': 196}, {'x': 1387, 'y': 794, 'x_offset': 158, 'y_offset': 169}]"
67,DSC05379.jpeg,18,18,18,"[['1', '3', '1', '2', '3', '2'], ['1', '1', '1', '1', '3', '3'], ['1', '1', '2', '1', '2', '1']]","[{'x': 205, 'y': 49, 'x_offset': 207, 'y_offset': 250}, {'x': 538, 'y': 55, 'x_offset': 213, 'y_offset': 235}, {'x': 808, 'y': 63, 'x_offset': 180, 'y_offset': 233}, {'x': 1107, 'y': 63, 'x_offset': 182, 'y_offset': 241}, {'x': 1397, 'y': 65, 'x_offset': 196, 'y_offset': 254}, {'x': 1688, 'y': 67, 'x_offset': 194, 'y_offset': 246}, {'x': 227, 'y': 440, 'x_offset': 201, 'y_offset': 229}, {'x': 534, 'y': 421, 'x_offset': 200, 'y_offset': 243}, {'x': 810, 'y': 417, 'x_offset': 200, 'y_offset': 235}, {'x': 1103, 'y': 431, 'x_offset': 203, 'y_offset': 227}, {'x': 1379, 'y': 433, 'x_offset': 190, 'y_offset': 227}, {'x': 1667, 'y': 440, 'x_offset': 198, 'y_offset': 245}, {'x': 245, 'y': 816, 'x_offset': 192, 'y_offset': 245}, {'x': 513, 'y': 828, 'x_offset': 180, 'y_offset': 223}, {'x': 757, 'y': 816, 'x_offset': 196, 'y_offset': 243}, {'x': 1076, 'y': 838, 'x_offset': 196, 'y_offset': 221}, {'x': 1350, 'y': 820, 'x_offset': 184, 'y_offset': 215}, {'x': 1639, 'y': 834, 'x_offset': 192, 'y_offset': 217}]"
134,DSC05384.jpeg,18,18,18,"[['1', '1', '1', '1', '1', '1'], ['1', '1', '1', '1', '1', '1'], ['1', '1', '1', '1', '1', '1']]","[{'x': 258, 'y': 111, 'x_offset': 188, 'y_offset': 226}, {'x': 582, 'y': 109, 'x_offset': 196, 'y_offset': 220}, {'x': 882, 'y': 100, 'x_offset': 205, 'y_offset': 254}, {'x': 1179, 'y': 103, 'x_offset': 209, 'y_offset': 260}, {'x': 1490, 'y': 128, 'x_offset': 209, 'y_offset': 241}, {'x': 1777, 'y': 122, 'x_offset': 217, 'y_offset': 243}, {'x': 247, 'y': 516, 'x_offset': 211, 'y_offset': 245}, {'x': 558, 'y': 505, 'x_offset': 205, 'y_offset': 245}, {'x': 846, 'y': 505, 'x_offset': 209, 'y_offset': 249}, {'x': 1140, 'y': 508, 'x_offset': 209, 'y_offset': 262}, {'x': 1449, 'y': 518, 'x_offset': 217, 'y_offset': 260}, {'x': 1788, 'y': 550, 'x_offset': 209, 'y_offset': 239}, {'x': 239, 'y': 942, 'x_offset': 209, 'y_offset': 237}, {'x': 539, 'y': 942, 'x_offset': 222, 'y_offset': 245}, {'x': 838, 'y': 947, 'x_offset': 200, 'y_offset': 247}, {'x': 1117, 'y': 947, 'x_offset': 202, 'y_offset': 249}, {'x': 1745, 'y': 915, 'x_offset': 205, 'y_offset': 243}, {'x': 1426, 'y': 959, 'x_offset': 209, 'y_offset': 232}]"
45,DSC05386.jpeg,18,18,18,"[['1', '1', '1', '1', '1', '1'], ['1', '1', '1', '1', '1', '1'], ['1', '1', '1', '1', '1', '1']]","[{'x': 111, 'y': 121, 'x_offset': 201, 'y_offset': 229}, {'x': 430, 'y': 121, 'x_offset': 220, 'y_offset': 241}, {'x': 745, 'y': 132, 'x_offset': 205, 'y_offset': 261}, {'x': 1040, 'y': 130, 'x_offset': 205, 'y_offset': 278}, {'x': 1353, 'y': 171, 'x_offset': 198, 'y_offset': 265}, {'x': 1635, 'y': 179, 'x_offset': 201, 'y_offset': 254}, {'x': 417, 'y': 522, 'x_offset': 190, 'y_offset': 250}, {'x': 98, 'y': 526, 'x_offset': 203, 'y_offset': 254}, {'x': 691, 'y': 529, 'x_offset': 222, 'y_offset': 257}, {'x': 980, 'y': 544, 'x_offset': 224, 'y_offset': 254}, {'x': 1301, 'y': 557, 'x_offset': 201, 'y_offset': 267}, {'x': 1633, 'y': 602, 'x_offset': 201, 'y_offset': 241}, {'x': 70, 'y': 949, 'x_offset': 222, 'y_offset': 265}, {'x': 385, 'y': 960, 'x_offset': 220, 'y_offset': 261}, {'x': 676, 'y': 973, 'x_offset': 205, 'y_offset': 263}, {'x': 956, 'y': 975, 'x_offset': 196, 'y_offset': 261}, {'x': 1260, 'y': 988, 'x_offset': 213, 'y_offset': 252}, {'x': 1581, 'y': 951, 'x_offset': 194, 'y_offset': 270}]"
89,DSC05389.jpeg,21,21,21,"[['1', '1', '1', '1', '1', '1'], ['1', '1', '1', '1', '1', '1'], ['1', '1', '1', '1', '1', '1'], ['1', '1', '1']]","[{'x': 92, 'y': 54, 'x_offset': 124, 'y_offset': 150}, {'x': 302, 'y': 48, 'x_offset': 132, 'y_offset': 164}, {'x': 504, 'y': 78, 'x_offset': 128, 'y_offset': 152}, {'x': 687, 'y': 92, 'x_offset': 132, 'y_offset': 162}, {'x': 867, 'y': 106, 'x_offset': 128, 'y_offset': 150}, {'x': 1037, 'y': 110, 'x_offset': 122, 'y_offset': 162}, {'x': 48, 'y': 282, 'x_offset': 142, 'y_offset': 150}, {'x': 280, 'y': 282, 'x_offset': 114, 'y_offset': 152}, {'x': 458, 'y': 306, 'x_offset': 132, 'y_offset': 150}, {'x': 669, 'y': 304, 'x_offset': 124, 'y_offset': 158}, {'x': 851, 'y': 337, 'x_offset': 134, 'y_offset': 162}, {'x': 1037, 'y': 339, 'x_offset': 122, 'y_offset': 164}, {'x': 64, 'y': 557, 'x_offset': 120, 'y_offset': 144}, {'x': 246, 'y': 545, 'x_offset': 140, 'y_offset': 166}, {'x': 438, 'y': 559, 'x_offset': 138, 'y_offset': 166}, {'x': 645, 'y': 567, 'x_offset': 122, 'y_offset': 158}, {'x': 843, 'y': 585, 'x_offset': 114, 'y_offset': 152}, {'x': 1009, 'y': 569, 'x_offset': 130, 'y_offset': 158}, {'x': 204, 'y': 1095, 'x_offset': 130, 'y_offset': 144}, {'x': 390, 'y': 1097, 'x_offset': 118, 'y_offset': 152}, {'x': 554, 'y': 1087, 'x_offset': 130, 'y_offset': 166}]"
22,DSC05390.jpeg,0,0,0,[],[]
38,DSC05393.jpeg,18,18,18,"[['1', '2', '1', '3', '1', '1'], ['4', '1', '1', '2', '1', '1'], ['1', '1', '1', '2', '2', '1']]","[{'x': 50, 'y': 21, 'x_offset': 167, 'y_offset': 214}, {'x': 303, 'y': 23, 'x_offset': 169, 'y_offset': 218}, {'x': 558, 'y': 48, 'x_offset': 172, 'y_offset': 228}, {'x': 830, 'y': 58, 'x_offset': 177, 'y_offset': 207}, {'x': 1090, 'y': 56, 'x_offset': 184, 'y_offset': 220}, {'x': 1346, 'y': 81, 'x_offset': 188, 'y_offset': 228}, {'x': 29, 'y': 402, 'x_offset': 193, 'y_offset': 223}, {'x': 328, 'y': 422, 'x_offset': 176, 'y_offset': 221}, {'x': 566, 'y': 434, 'x_offset': 176, 'y_offset': 212}, {'x': 818, 'y': 446, 'x_offset': 176, 'y_offset': 225}, {'x': 1072, 'y': 413, 'x_offset': 177, 'y_offset': 227}, {'x': 1343, 'y': 474, 'x_offset': 188, 'y_offset': 223}, {'x': 33, 'y': 836, 'x_offset': 190, 'y_offset': 202}, {'x': 336, 'y': 871, 'x_offset': 158, 'y_offset': 179}, {'x': 559, 'y': 856, 'x_offset': 188, 'y_offset': 237}, {'x': 832, 'y': 875, 'x_offset': 179, 'y_offset': 223}, {'x': 1067, 'y': 880, 'x_offset': 179, 'y_offset': 212}, {'x': 1334, 'y': 863, 'x_offset': 197, 'y_offset': 220}]"
31,DSC05399.jpeg,18,18,18,"[['1', '1', '3', '2', '2', '1'], ['1', '2', '2', '2', '1', '2'], ['1', '1', '1', '2', '1', '1']]","[{'x': 112, 'y': 60, 'x_offset': 172, 'y_offset': 198}, {'x': 397, 'y': 60, 'x_offset': 179, 'y_offset': 223}, {'x': 666, 'y': 71, 'x_offset': 179, 'y_offset': 225}, {'x': 977, 'y': 96, 'x_offset': 161, 'y_offset': 222}, {'x': 1274, 'y': 98, 'x_offset': 160, 'y_offset': 216}, {'x': 1522, 'y': 107, 'x_offset': 173, 'y_offset': 215}, {'x': 82, 'y': 400, 'x_offset': 180, 'y_offset': 206}, {'x': 380, 'y': 421, 'x_offset': 187, 'y_offset': 213}, {'x': 653, 'y': 418, 'x_offset': 163, 'y_offset': 234}, {'x': 951, 'y': 438, 'x_offset': 160, 'y_offset': 215}, {'x': 1237, 'y': 459, 'x_offset': 158, 'y_offset': 213}, {'x': 1472, 'y': 447, 'x_offset': 177, 'y_offset': 222}, {'x': 69, 'y': 766, 'x_offset': 177, 'y_offset': 203}, {'x': 376, 'y': 792, 'x_offset': 161, 'y_offset': 210}, {'x': 649, 'y': 809, 'x_offset': 168, 'y_offset': 206}, {'x': 905, 'y': 828, 'x_offset': 161, 'y_offset': 199}, {'x': 1226, 'y': 804, 'x_offset': 163, 'y_offset': 196}, {'x': 1484, 'y': 807, 'x_offset': 170, 'y_offset': 216}]"
36,DSC05400.jpeg,18,18,18,"[['1', '1', '3', '2', '2', '1'], ['1', '2', '2', '2', '1', '2'], ['1', '2', '2', '2', '1', '1']]","[{'x': 100, 'y': 39, 'x_offset': 210, 'y_offset': 247}, {'x': 429, 'y': 50, 'x_offset': 202, 'y_offset': 254}, {'x': 726, 'y': 71, 'x_offset': 204, 'y_offset': 249}, {'x': 1067, 'y': 110, 'x_offset': 197, 'y_offset': 247}, {'x': 1400, 'y': 101, 'x_offset': 178, 'y_offset': 265}, {'x': 1686, 'y': 121, 'x_offset': 186, 'y_offset': 256}, {'x': 72, 'y': 438, 'x_offset': 187, 'y_offset': 217}, {'x': 392, 'y': 466, 'x_offset': 204, 'y_offset': 238}, {'x': 705, 'y': 468, 'x_offset': 184, 'y_offset': 245}, {'x': 1038, 'y': 496, 'x_offset': 184, 'y_offset': 247}, {'x': 1353, 'y': 520, 'x_offset': 180, 'y_offset': 243}, {'x': 1626, 'y': 527, 'x_offset': 178, 'y_offset': 221}, {'x': 50, 'y': 836, 'x_offset': 199, 'y_offset': 228}, {'x': 382, 'y': 882, 'x_offset': 180, 'y_offset': 223}, {'x': 692, 'y': 908, 'x_offset': 193, 'y_offset': 217}, {'x': 975, 'y': 928, 'x_offset': 191, 'y_offset': 219}, {'x': 1331, 'y': 914, 'x_offset': 191, 'y_offset': 212}, {'x': 1609, 'y': 919, 'x_offset': 206, 'y_offset': 223}]"
69,DSC05403.jpeg,18,18,18,"[['1', '1', '3', '2', '2', '1'], ['1', '2', '2', '2', '1', '2'], ['1', '1', '1', '2', '1', '1']]","[{'x': 115, 'y': 42, 'x_offset': 151, 'y_offset': 169}, {'x': 353, 'y': 52, 'x_offset': 152, 'y_offset': 179}, {'x': 583, 'y': 60, 'x_offset': 139, 'y_offset': 179}, {'x': 828, 'y': 89, 'x_offset': 138, 'y_offset': 158}, {'x': 1075, 'y': 88, 'x_offset': 129, 'y_offset': 162}, {'x': 1286, 'y': 95, 'x_offset': 132, 'y_offset': 164}, {'x': 96, 'y': 335, 'x_offset': 141, 'y_offset': 154}, {'x': 347, 'y': 355, 'x_offset': 141, 'y_offset': 169}, {'x': 570, 'y': 358, 'x_offset': 131, 'y_offset': 162}, {'x': 816, 'y': 363, 'x_offset': 126, 'y_offset': 175}, {'x': 1047, 'y': 379, 'x_offset': 129, 'y_offset': 171}, {'x': 1247, 'y': 378, 'x_offset': 132, 'y_offset': 168}, {'x': 77, 'y': 637, 'x_offset': 148, 'y_offset': 164}, {'x': 564, 'y': 666, 'x_offset': 133, 'y_offset': 169}, {'x': 334, 'y': 656, 'x_offset': 131, 'y_offset': 174}, {'x': 778, 'y': 690, 'x_offset': 131, 'y_offset': 154}, {'x': 1036, 'y': 669, 'x_offset': 139, 'y_offset': 159}, {'x': 1261, 'y': 673, 'x_offset': 132, 'y_offset': 166}]"
